Name,Release Date,Category,Price
Age of Empires IV,"28 Oct, 2021",On Sale,CDN$ 71.99
Apex Legends,"4 Nov, 2020",Regular Price,Free to Play
Call of Duty®: Black Ops III,"6 Nov, 2015",On Sale,CDN$ 26.39
Counter-Strike: Global Offensive,"21 Aug, 2012",Regular Price,Free to Play
Destiny 2,"1 Oct, 2019",Regular Price,Free To Play
Five Nights at Freddy's: Security Breach,"16 Dec, 2021",Regular Price,CDN$ 45.49
Forza Horizon 5,"8 Nov, 2021",On Sale,CDN$ 71.99
Halo Infinite,"15 Nov, 2021",Regular Price,Free To Play
Project Zomboid,"8 Nov, 2013",On Sale,CDN$ 11.38
Ready or Not,"17 Dec, 2021",Regular Price,CDN$ 45.99
Red Dead Redemption 2,"5 Dec, 2019",On Sale,CDN$ 39.99
Rust,"8 Feb, 2018",On Sale,CDN$ 33.82
Sea of Thieves,"3 Jun, 2020",On Sale,CDN$ 24.99
Sid Meiers Civilization® VI,"21 Oct, 2016",On Sale,CDN$ 11.99
The Sims 4,"2 Sep, 2014",On Sale,CDN$ 4.79
The Witcher® 3: Wild Hunt,"18 May, 2015",On Sale,CDN$ 11.19
